sample_id,qid,word_count,sentence_count,average_sentence_length,vocabulary_ratio,filler_ratio,stopword_ratio,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_compound,keyword_coverage,tfidf_cosine_similarity,duration_seconds,speech_rate_wpm,rms_energy,zero_crossing_rate,silence_ratio,speech_available,target_score
sample_001,qid_1,19.0,2.0,9.5,0.7113,0.1187,0.3221,0.0363,0.0693,0.8944,-0.0096,0.1704,0.0531,45.0,93.95,0.0195,0.0612,0.7247,1.0,25.79
sample_002,qid_2,21.0,2.0,10.5,0.6079,0.1056,0.5429,0.0852,0.0072,0.9076,0.5829,0.115,0.1975,63.86,76.34,0.041,0.0323,0.7338,1.0,24.8
sample_003,qid_3,18.0,2.0,9.0,0.5584,0.1117,0.4647,0.1432,0.0098,0.847,0.4966,0.0558,0.1864,0.0,0.0,0.0,0.0,0.0,0.0,37.97
sample_004,qid_4,10.0,2.0,5.0,0.6952,0.1038,0.5074,0.1459,0.0316,0.8225,0.7987,0.1736,0.099,22.27,79.97,0.0726,0.157,0.6219,1.0,26.59
sample_005,qid_5,17.0,2.0,8.5,0.8171,0.1089,0.5465,0.2362,0.0159,0.7479,0.1539,0.1886,0.156,41.01,85.52,0.0337,0.0497,0.7045,1.0,30.11
sample_006,qid_1,20.0,2.0,10.0,0.7478,0.1799,0.4397,0.0969,0.0449,0.8582,0.418,0.2152,0.1773,30.82,85.26,0.0082,0.1508,0.5279,1.0,29.46
sample_007,qid_2,17.0,2.0,8.5,0.8658,0.157,0.4321,0.2147,0.0111,0.7742,0.5731,0.1418,0.0805,33.01,93.0,0.0754,0.1361,0.6476,1.0,27.27
sample_008,qid_3,16.0,2.0,8.0,0.8641,0.1647,0.498,0.2709,0.0254,0.7037,0.227,0.0887,0.1141,41.23,88.63,0.0459,0.101,0.734,1.0,25.14
sample_009,qid_4,14.0,2.0,7.0,0.8903,0.1388,0.4201,0.2168,0.0291,0.7541,0.8302,0.2136,0.0878,25.15,77.4,0.008,0.1336,0.5493,1.0,31.15
sample_010,qid_5,5.0,1.0,5.0,0.754,0.1637,0.4009,0.1748,0.0474,0.7778,0.2066,0.1128,0.0863,11.09,88.11,0.0369,0.1688,0.6052,1.0,19.29
sample_011,qid_1,13.0,2.0,6.5,0.497,0.1049,0.4395,0.2097,0.0013,0.789,0.5085,0.0885,0.1468,37.92,66.1,0.0799,0.0534,0.678,1.0,26.96
sample_012,qid_2,14.0,2.0,7.0,0.7432,0.1981,0.4299,0.1683,0.0193,0.8124,0.2152,0.2025,0.1851,0.0,0.0,0.0,0.0,0.0,0.0,39.85
sample_013,qid_3,13.0,2.0,6.5,0.7642,0.2016,0.5112,0.1333,0.071,0.7957,0.7456,0.2091,0.1678,27.34,83.41,0.0802,0.1955,0.6416,1.0,27.53
sample_014,qid_4,7.0,1.0,7.0,0.5166,0.1855,0.3441,0.1111,0.0597,0.8292,0.6047,0.1944,0.1486,11.36,79.89,0.0262,0.0715,0.4809,1.0,22.86
sample_015,qid_5,17.0,2.0,8.5,0.8712,0.1521,0.3745,0.2006,0.0535,0.7459,0.7549,0.0891,0.1249,0.0,0.0,0.0,0.0,0.0,0.0,39.29
sample_016,qid_1,29.0,2.0,14.5,0.896,0.1715,0.3799,0.0243,0.0743,0.9014,-0.0787,0.3733,0.3527,27.52,109.86,0.0731,0.0839,0.3966,1.0,45.26
sample_017,qid_2,42.0,4.0,10.5,0.839,0.173,0.299,0.0785,0.0537,0.8678,0.4011,0.2308,0.2191,60.87,91.29,0.0617,0.124,0.5407,1.0,40.26
sample_018,qid_3,41.0,3.0,13.67,0.6659,0.1302,0.4955,0.202,0.0562,0.7418,0.7071,0.358,0.2276,41.94,93.15,0.0079,0.1092,0.3444,1.0,43.66
sample_019,qid_4,39.0,3.0,13.0,0.4159,0.0837,0.5021,0.1209,0.0102,0.8689,0.5156,0.334,0.2032,35.55,101.8,0.0475,0.1219,0.3422,1.0,54.01
sample_020,qid_5,45.0,4.0,11.25,0.4214,0.1199,0.3971,0.2283,0.0201,0.7516,0.279,0.1962,0.2457,0.0,0.0,0.0,0.0,0.0,0.0,49.5
sample_021,qid_1,18.0,3.0,6.0,0.4813,0.105,0.4283,0.2201,0.0528,0.7271,0.346,0.371,0.3076,22.19,99.4,0.0248,0.0905,0.479,1.0,43.44
sample_022,qid_2,33.0,3.0,11.0,0.5801,0.1265,0.4554,0.0335,0.0759,0.8906,0.1047,0.2322,0.1631,33.55,112.67,0.0597,0.1347,0.4503,1.0,39.87
sample_023,qid_3,19.0,3.0,6.33,0.7046,0.174,0.4354,0.1287,0.0515,0.8198,0.4708,0.2891,0.3483,0.0,0.0,0.0,0.0,0.0,0.0,43.57
sample_024,qid_4,29.0,3.0,9.67,0.5116,0.1177,0.2905,0.1931,0.0269,0.78,0.609,0.2571,0.2963,0.0,0.0,0.0,0.0,0.0,0.0,42.57
sample_025,qid_5,36.0,4.0,9.0,0.4614,0.1497,0.4498,0.2657,0.0588,0.6755,0.7124,0.2364,0.1955,45.71,106.27,0.038,0.0932,0.5298,1.0,45.99
sample_026,qid_1,22.0,3.0,7.33,0.7535,0.154,0.3443,0.1258,0.0427,0.8315,0.4976,0.2579,0.2195,0.0,0.0,0.0,0.0,0.0,0.0,42.58
sample_027,qid_2,21.0,3.0,7.0,0.8708,0.0891,0.3662,0.286,0.076,0.638,0.5514,0.3064,0.2497,25.33,90.26,0.0652,0.1646,0.4055,1.0,38.46
sample_028,qid_3,22.0,2.0,11.0,0.6839,0.1506,0.5415,0.2126,0.067,0.7204,0.7568,0.3477,0.2452,28.35,87.79,0.0167,0.1173,0.4231,1.0,36.86
sample_029,qid_4,25.0,3.0,8.33,0.5927,0.1613,0.5358,0.2961,0.0603,0.6436,0.4134,0.1967,0.3154,28.76,99.54,0.0139,0.1137,0.4303,1.0,40.21
sample_030,qid_5,45.0,3.0,15.0,0.8279,0.1544,0.4639,0.0865,0.032,0.8815,0.4844,0.1966,0.2657,62.56,95.27,0.0495,0.0849,0.5285,1.0,48.11
sample_031,qid_1,55.0,4.0,13.75,0.4384,0.0422,0.5417,0.1665,0.0504,0.7831,0.637,0.5291,0.5306,33.57,136.36,0.0275,0.1916,0.2662,1.0,67.72
sample_032,qid_2,42.0,5.0,8.4,0.7364,0.0355,0.3419,0.0945,0.0288,0.8767,0.332,0.5288,0.3878,26.27,127.83,0.0267,0.0526,0.1976,1.0,69.93
sample_033,qid_3,40.0,3.0,13.33,0.7774,0.0445,0.3929,0.2812,0.0693,0.6495,0.1817,0.4263,0.4704,24.1,142.7,0.0525,0.0948,0.2782,1.0,67.0
sample_034,qid_4,35.0,5.0,7.0,0.4392,0.0477,0.4243,0.23,0.0731,0.6969,0.5596,0.5943,0.5617,20.38,130.58,0.0251,0.0767,0.1738,1.0,72.93
sample_035,qid_5,35.0,3.0,11.67,0.7214,0.0343,0.3107,0.208,0.0416,0.7504,0.6906,0.5448,0.5845,22.09,135.45,0.0373,0.0528,0.2185,1.0,74.33
sample_036,qid_1,72.0,6.0,12.0,0.9098,0.0443,0.4519,0.1753,0.0073,0.8174,0.6585,0.5514,0.4882,37.83,145.49,0.0608,0.1654,0.1817,1.0,73.69
sample_037,qid_2,51.0,5.0,10.2,0.5343,0.0384,0.5446,0.1579,0.0263,0.8158,0.5934,0.4776,0.3982,30.2,123.61,0.0161,0.1389,0.1579,1.0,67.41
sample_038,qid_3,37.0,3.0,12.33,0.906,0.0441,0.3404,0.2501,0.0276,0.7223,0.3933,0.4276,0.5117,0.0,0.0,0.0,0.0,0.0,0.0,61.87
sample_039,qid_4,46.0,5.0,9.2,0.5894,0.0401,0.4664,0.031,0.064,0.905,0.0012,0.4396,0.5897,23.29,145.78,0.0695,0.1572,0.1486,1.0,68.71
sample_040,qid_5,56.0,6.0,9.33,0.7952,0.0413,0.4745,0.0375,0.0118,0.9507,0.2432,0.5849,0.5827,30.08,140.99,0.0333,0.0975,0.1443,1.0,73.36
sample_041,qid_1,71.0,8.0,8.88,0.6933,0.0536,0.3041,0.1699,0.0187,0.8114,0.39,0.5338,0.4652,40.55,138.17,0.0639,0.1248,0.2071,1.0,71.17
sample_042,qid_2,71.0,7.0,10.14,0.7359,0.0428,0.3761,0.2962,0.0485,0.6553,0.3161,0.4444,0.4167,40.96,126.89,0.0278,0.0595,0.1625,1.0,70.37
sample_043,qid_3,37.0,3.0,12.33,0.6134,0.0593,0.3103,0.1314,0.0776,0.791,0.7559,0.6161,0.4419,0.0,0.0,0.0,0.0,0.0,0.0,63.87
sample_044,qid_4,49.0,4.0,12.25,0.6478,0.0535,0.3354,0.291,0.0569,0.6521,0.2897,0.5967,0.5072,0.0,0.0,0.0,0.0,0.0,0.0,63.23
sample_045,qid_5,48.0,5.0,9.6,0.7022,0.0262,0.4099,0.1691,0.0041,0.8268,0.3856,0.4523,0.3952,26.04,147.72,0.0254,0.1459,0.1851,1.0,68.72
sample_046,qid_1,174.0,17.0,10.24,0.8834,0.0898,0.5406,0.0548,0.0585,0.8867,0.1253,0.3235,0.2653,66.4,198.35,0.0162,0.1652,0.1804,1.0,43.27
sample_047,qid_2,169.0,11.0,15.36,0.4969,0.0541,0.4511,0.2742,0.0253,0.7005,0.5618,0.4439,0.3539,68.21,197.12,0.0482,0.1046,0.226,1.0,43.28
sample_048,qid_3,205.0,16.0,12.81,0.8714,0.0775,0.3116,0.2832,0.0502,0.6666,0.3844,0.3134,0.4326,79.55,192.9,0.0681,0.0558,0.1747,1.0,46.68
